cid,cmpdname,CanonicalSMILES,activity
1326324,[2-oxo-4-(trifluoromethyl)chromen-7-yl] (2S)-2-[(4-methylphenyl)sulfonylamino]-2-phenylacetate,CC1=CC=C(C=C1)S(=O)(=O)NC(C2=CC=CC=C2)C(=O)OC3=CC4=C(C=C3)C(=CC(=O)O4)C(F)(F)F,Active
5769124,2-[4-[(Z)-2-(1H-benzimidazol-2-yl)-2-cyanoethenyl]-2-methoxyphenoxy]-N-(2-methylphenyl)acetamide,CC1=CC=CC=C1NC(=O)COC2=C(C=C(C=C2)C=C(C#N)C3=NC4=CC=CC=C4N3)OC,Active
1325822,"2-(4-nitrophenyl)-4,5-dithiophen-2-yl-1H-imidazole",C1=CSC(=C1)C2=C(N=C(N2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CS4,Active
702952,"2,3,6-triphenylimidazo[1,2-b][1,2,4]triazine",C1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Active
5341736,(Z)-2-(6-methyl-1H-benzimidazol-2-yl)-3-(5-nitrofuran-2-yl)prop-2-enenitrile,CC1=CC2=C(C=C1)N=C(N2)C(=CC3=CC=C(O3)[N+](=O)[O-])C#N,Active
135472352,N-[(E)-1H-indol-3-ylmethylideneamino]-4-nitroaniline,C1=CC=C2C(=C1)C(=CN2)C=NNC3=CC=C(C=C3)[N+](=O)[O-],Active
5378081,"4-[(E)-2-(1,3-benzothiazol-2-yl)ethenyl]-N,N-dimethylaniline",CN(C)C1=CC=C(C=C1)C=CC2=NC3=CC=CC=C3S2,Active
5739533,"4-[(E)-2-(1,3-benzothiazol-2-yl)ethenyl]-N,N-diethylaniline",CCN(CC)C1=CC=C(C=C1)C=CC2=NC3=CC=CC=C3S2,Active
5736224,"(14E)-14-[(3-hydroxy-4-methoxyphenyl)methylidene]-11-(2-methoxyphenyl)-15-thia-12,17-diazatetracyclo[8.7.0.02,7.012,16]heptadeca-1(10),2,4,6,16-pentaen-13-one",COC1=C(C=C(C=C1)C=C2C(=O)N3C(C4=C(C5=CC=CC=C5CC4)N=C3S2)C6=CC=CC=C6OC)O,Active
988543,"1,3-diethyl-6-hydroxy-5-[(4-morpholin-4-ylphenyl)iminomethyl]-2-sulfanylidenepyrimidin-4-one",CCN1C(=C(C(=O)N(C1=S)CC)C=NC2=CC=C(C=C2)N3CCOCC3)O,Active
